"[0.5297548768676754, 0.5297548768676754, 1.0, 1, 0]","[0.19113064636803867, 0.19113064636803867, 1.0, 1, 0]"
"[0.6050049348103864, 0.654373337490914, 0.9245562130177515, 3, 0]","[3.179014954501153e-23, 0.03556596960190672, 8.938361557646732e-22, 21, 17]"
"[0.5362103031281812, 0.6031636664179785, 0.8889963586709148, 4, 0]","[1.1405077956561046e-07, 0.23488056715276995, 4.855692446086017e-07, 7, 5]"
"[0.49501194173685586, 0.5148124194063302, 0.9615384615384615, 2, 0]","[4.564181111474285e-30, 0.0034982954143908396, 1.3046871606951035e-27, 20, 19]"
"[0.47958544602195813, 0.5187196184173499, 0.9245562130177515, 3, 0]","[0.22653737190337375, 0.22653737190337375, 1.0, 1, 0]"
"[0.6519375730788235, 0.6519375730788235, 1.0, 1, 0]","[1.183606305405905e-07, 0.24375644020863874, 4.855692446086017e-07, 7, 5]"
"[0.4450055943886417, 0.5005707729263851, 0.8889963586709148, 4, 0]","[2.0606407554447165e-09, 0.09457528793520686, 2.178836354012956e-08, 8, 6]"
"[0.6827634596140901, 0.6827634596140901, 1.0, 1, 0]","[0.6191067768285119, 0.6191067768285119, 1.0, 1, 0]"
"[0.7314422232943747, 0.7314422232943747, 1.0, 1, 0]","[0.7314422232943747, 0.7314422232943747, 1.0, 1, 0]"
"[0.4952752761058132, 0.8576565307124122, 0.5774750828218062, 15, 0]","[1.946905424002122e-29, 0.01492239275938656, 1.3046871606951035e-27, 20, 19]"
"[0.4220056839832668, 0.6246715019192874, 0.6755641688257988, 11, 0]","[0.13323185105032787, 0.13323185105032787, 1.0, 1, 0]"
"[0.00044994854265253476, 0.8553612505450878, 0.0005260333483259855, 6, 3]","[8.860274443845844e-18, 0.06764213967298993, 1.3098749517209352e-16, 14, 12]"
"[0.407141052488027, 0.407141052488027, 1.0, 1, 0]","[0.008158842152976055, 0.21212989597737741, 0.038461538461538464, 2, 1]"
"[0.3312676607992301, 0.3312676607992301, 1.0, 1, 0]","[0.19113064636803867, 0.19113064636803867, 1.0, 1, 0]"
"[0.37733311400262304, 0.4590834283229215, 0.8219271067593517, 6, 0]","[5.084772120217508e-06, 0.08936995478494292, 5.689576695493856e-05, 4, 3]"
"[0.6336610022171739, 0.6336610022171739, 1.0, 1, 0]","[1.1106086366259872e-13, 0.2767881395153655, 4.0124863679873583e-13, 20, 12]"
"[0.4613574832492305, 0.47981178257919976, 0.9615384615384615, 2, 0]","[0.009191565781095958, 0.23898071030849488, 0.038461538461538464, 2, 1]"
"[0.3398356773646992, 0.3534291044592872, 0.9615384615384615, 2, 0]","[0.40766286462654033, 0.40766286462654033, 1.0, 1, 0]"
"[0.6235753867130308, 0.6235753867130308, 1.0, 1, 0]","[0.3729301417636227, 0.3729301417636227, 1.0, 1, 0]"
"[0.5733613069127392, 0.5733613069127392, 1.0, 1, 0]","[0.498700829262706, 0.498700829262706, 1.0, 1, 0]"
"[0.6772228468840398, 0.7043117607594014, 0.9615384615384615, 2, 0]","[0.0006134975441012667, 0.41472433981245627, 0.0014792899408284025, 3, 2]"
"[0.7127314796449481, 0.8017259831193351, 0.8889963586709148, 4, 0]","[0.004578208015885587, 0.06189737237477311, 0.07396449704142016, 3, 1]"
"[0.49449885016441164, 0.49449885016441164, 1.0, 1, 0]","[5.3151625403605324e-08, 0.6315144464313864, 8.416533573215765e-08, 6, 5]"
"[0.2856598688768506, 0.2856598688768506, 1.0, 1, 0]","[3.126695909691652e-09, 0.03714944974070855, 8.416533573215765e-08, 6, 5]"
"[0.5251641048358172, 0.5251641048358172, 1.0, 1, 0]","[5.992906733927876e-11, 0.13034743722339937, 4.5976406299855176e-10, 20, 10]"
"[0.49542560563973675, 0.57957788560083, 0.8548041910297263, 5, 0]","[1.1369097037436443e-05, 0.08682697732416178, 0.00013093968473635564, 9, 4]"
"[0.683109915192399, 0.683109915192399, 1.0, 1, 0]","[0.0015487366992530003, 0.3629412830142763, 0.004267182521620393, 4, 2]"
"[0.5736145515955852, 0.6204214990057849, 0.9245562130177515, 3, 0]","[1.6058007525029756e-15, 0.18580757191465458, 8.642278331049687e-15, 20, 13]"
"[0.41398698655932004, 0.5238256075033556, 0.7903145257301459, 7, 0]","[0.01789347022953134, 0.24191971750326358, 0.07396449704142016, 3, 1]"
"[0.5067130668396268, 0.5480608530937403, 0.9245562130177515, 3, 0]","[1.9145358684346322e-08, 0.0791998441234083, 2.41734802590195e-07, 10, 6]"
"[0.5021264511800303, 0.5222115092272316, 0.9615384615384615, 2, 0]","[0.01680281687629376, 0.4368732387836378, 0.038461538461538464, 2, 1]"
"[0.3791568944550451, 0.5396584866389119, 0.7025867355788306, 10, 0]","[0.00012667188426509604, 0.08563019376320491, 0.0014792899408284025, 3, 2]"
"[0.04474934319247126, 0.2103110100246569, 0.2127769876965777, 8, 1]","[3.5845690344947087e-07, 0.16380620191072537, 2.1882987290360987e-06, 5, 4]"
"[0.5029657731523879, 0.5440077802416228, 0.9245562130177515, 3, 0]","[4.802904975708579e-09, 0.057065119908664474, 8.416533573215765e-08, 6, 5]"
"[0.45681111031288846, 0.45681111031288846, 1.0, 1, 0]","[1.80328789735421e-09, 0.021425541544714766, 8.416533573215765e-08, 6, 5]"
"[0.4776518362244343, 0.4776518362244343, 1.0, 1, 0]","[9.819670520564899e-32, 7.526456009065985e-05, 1.3046871606951035e-27, 20, 19]"
"[0.5993752168762215, 0.6233502255512704, 0.9615384615384615, 2, 0]","[0.00036005281026247314, 0.2433956997374318, 0.0014792899408284025, 3, 2]"
"[0.04764338311072809, 0.1763096139095761, 0.2702256675303194, 11, 1]","[0.0012727329446587821, 0.29826072313763663, 0.004267182521620393, 4, 2]"
"[0.06911285575929005, 0.42043178276346405, 0.16438542135187031, 6, 1]","[2.3775614570050707e-07, 0.10864885243763489, 2.1882987290360987e-06, 5, 4]"
"[0.26944548844489513, 0.26944548844489513, 1.0, 1, 0]","[0.008472373661548209, 0.22028171520025341, 0.038461538461538464, 2, 1]"
"[0.3991305631547089, 0.44896760179245854, 0.8889963586709148, 4, 0]","[8.091296900842458e-29, 0.06201714207512876, 1.3046871606951035e-27, 20, 19]"
"[0.6212195654359728, 0.8174825680402751, 0.7599178132020633, 8, 0]","[0.003518228854609344, 0.09147395021984295, 0.038461538461538464, 2, 1]"
"[0.6527720033854211, 0.6788828835208379, 0.9615384615384615, 2, 0]","[2.532904608580911e-05, 0.4451833140041809, 5.689576695493856e-05, 4, 3]"
"[0.4515918280463479, 0.4515918280463479, 1.0, 1, 0]","[0.00024483037717437227, 0.029835095050569582, 0.008206120233885368, 5, 2]"
"[0.4948280072121112, 0.5566142115046443, 0.8889963586709148, 4, 0]","[0.000807952229131142, 0.5461757068926519, 0.0014792899408284025, 3, 2]"
"[0.49415115463914366, 0.6012104365160255, 0.8219271067593517, 6, 0]","[7.470306010681592e-09, 0.08875751454796799, 8.416533573215765e-08, 6, 5]"
"[0.11763545917319167, 0.8601053054580547, 0.13676867056475617, 5, 1]","[0.4575142559838622, 0.4575142559838622, 1.0, 1, 0]"
"[0.5037298549160324, 0.5448342110771807, 0.9245562130177515, 3, 0]","[0.6156530069287869, 0.6156530069287869, 1.0, 1, 0]"
"[0.7242849823822213, 0.7833866369446105, 0.9245562130177515, 3, 0]","[0.4688647367264384, 0.487619326195496, 0.9615384615384615, 2, 0]"
"[0.3224554676188812, 0.3224554676188812, 1.0, 1, 0]","[7.305950985130795e-08, 0.03338644257381129, 2.1882987290360987e-06, 5, 4]"
