"[0.173401239922371, 0.18033728951926586, 0.9615384615384615, 2, 0]","[0.008095692064743856, 0.10945375671533686, 0.07396449704142016, 3, 1]"
"[0.5528075667495754, 0.9572838433968545, 0.5774750828218062, 15, 0]","[8.088322321246105e-29, 0.06199434289624539, 1.3046871606951035e-27, 20, 19]"
"[0.30796416356680484, 0.32028273010947705, 0.9615384615384615, 2, 0]","[0.30796416356680484, 0.32028273010947705, 0.9615384615384615, 2, 0]"
"[0.26599358934253925, 0.32362187249339414, 0.8219271067593517, 6, 0]","[2.3256557008037786e-29, 0.017825389647927015, 1.3046871606951035e-27, 20, 19]"
"[0.26963812351506783, 0.46692598786685857, 0.5774750828218062, 15, 0]","[7.049453852192648e-28, 0.540317561524625, 1.3046871606951035e-27, 20, 19]"
"[0.3271091925485308, 0.3401935602504721, 0.9615384615384615, 2, 0]","[0.3271091925485308, 0.3401935602504721, 0.9615384615384615, 2, 0]"
"[0.21951100790989175, 0.22829144822628744, 0.9615384615384615, 2, 0]","[0.21951100790989175, 0.22829144822628744, 0.9615384615384615, 2, 0]"
"[0.1747227408849931, 0.18171165052039284, 0.9615384615384615, 2, 0]","[1.9887022058434855e-13, 0.03280971930248422, 6.06132038957404e-12, 15, 10]"
"[0.47930784625833056, 0.8300061085167766, 0.5774750828218062, 15, 0]","[0.000496488484822913, 0.11635042145663355, 0.004267182521620393, 4, 2]"
"[0.6039262890288319, 0.6280833405899853, 0.9615384615384615, 2, 0]","[3.828125051093611e-21, 0.19379203558351854, 1.9753779042399315e-20, 20, 16]"
"[0.5469896120382587, 0.6654964990689975, 0.8219271067593517, 6, 0]","[0.0007189584685528873, 0.024424939645322552, 0.029435424569844125, 20, 3]"
"[0.3567747440277214, 0.3710457337888303, 0.9615384615384615, 2, 0]","[0.3567747440277214, 0.3710457337888303, 0.9615384615384615, 2, 0]"
"[0.27609822057873523, 0.28714214940188465, 0.9615384615384615, 2, 0]","[0.27609822057873523, 0.28714214940188465, 0.9615384615384615, 2, 0]"
"[0.2076562718220647, 0.2159625226949473, 0.9615384615384615, 2, 0]","[9.233434501425593e-33, 1.5495179583879803e-09, 5.958907705097829e-24, 21, 18]"
"[0.28402563004025694, 0.29538665524186725, 0.9615384615384615, 2, 0]","[2.2234055555296747e-29, 0.017041675755781194, 1.3046871606951035e-27, 20, 19]"
